form,tax_year,artifact_type,status,official_url,local_path,pages,bytes,sha256,retrieved_date
1040,2018,form,downloaded,https://www.irs.gov/pub/irs-prior/f1040--2018.pdf,sources/annual-income-tax-forms/1040/2018/1040-2018-form.pdf,3,591637,dd8b96d0c48115bcb6d206388d61994944d70fa1d7a667e83041b0f659e1a813,2026-07-17
1040,2018,instructions,downloaded,https://www.irs.gov/pub/irs-prior/i1040gi--2018.pdf,sources/annual-income-tax-forms/1040/2018/1040-2018-instructions.pdf,119,3240564,4fda630a8875af6e11617f7bf697f6fa7c8a76487ac70d02a10046cea4a42fcf,2026-07-17
1040,2019,form,downloaded,https://www.irs.gov/pub/irs-prior/f1040--2019.pdf,sources/annual-income-tax-forms/1040/2019/1040-2019-form.pdf,3,598982,20bc684f32cc1b3ec302ef6780af472a91dd023aa4a6f006be995fc70fc09955,2026-07-17
1040,2019,instructions,downloaded,https://www.irs.gov/pub/irs-prior/i1040gi--2019.pdf,sources/annual-income-tax-forms/1040/2019/1040-2019-instructions.pdf,108,4338199,960954bb42bdccfc2ee959a83d5d78849d5274c04dc2c5d01c82dcb5401b20bc,2026-07-17
1040,2020,form,downloaded,https://www.irs.gov/pub/irs-prior/f1040--2020.pdf,sources/annual-income-tax-forms/1040/2020/1040-2020-form.pdf,2,150184,b2c79abc644629ebc293b63582908132b14ca51cd34fc4ff8b7506c9a38e611d,2026-07-17
1040,2020,instructions,downloaded,https://www.irs.gov/pub/irs-prior/i1040gi--2020.pdf,sources/annual-income-tax-forms/1040/2020/1040-2020-instructions.pdf,115,4409122,985cb0c1a16ae7fd19cb5e0b40a9730a4fe939f68428e92139ce19d3844b7538,2026-07-17
1040,2021,form,downloaded,https://www.irs.gov/pub/irs-prior/f1040--2021.pdf,sources/annual-income-tax-forms/1040/2021/1040-2021-form.pdf,2,153711,41026e1bab58b13c69819a7fb5c836798cbfedf7c99452b2ddd242a28d061a04,2026-07-17
1040,2021,instructions,downloaded,https://www.irs.gov/pub/irs-prior/i1040gi--2021.pdf,sources/annual-income-tax-forms/1040/2021/1040-2021-instructions.pdf,114,4277175,7337e61fe50cd309c260817d23468cd557426c7e5f15cdbdc291f6d2c7c50d90,2026-07-17
1040,2022,form,downloaded,https://www.irs.gov/pub/irs-prior/f1040--2022.pdf,sources/annual-income-tax-forms/1040/2022/1040-2022-form.pdf,2,156045,7f7933e17b2701e8555164f18bd9d93e8891c7bc0d6e45d8df6d84a2cf78b48f,2026-07-17
1040,2022,instructions,downloaded,https://www.irs.gov/pub/irs-prior/i1040gi--2022.pdf,sources/annual-income-tax-forms/1040/2022/1040-2022-instructions.pdf,113,4277211,fcd5f84c414ca4d9553779bb558172554299807b3fe2649825aa2c06723de4c9,2026-07-17
1040,2023,form,downloaded,https://www.irs.gov/pub/irs-prior/f1040--2023.pdf,sources/annual-income-tax-forms/1040/2023/1040-2023-form.pdf,2,160747,a410ce39e1f9b75ab3ddd8c314b9e7dce022ed6e3aebde5418a58b88f1e0213c,2026-07-17
1040,2023,instructions,downloaded,https://www.irs.gov/pub/irs-prior/i1040gi--2023.pdf,sources/annual-income-tax-forms/1040/2023/1040-2023-instructions.pdf,114,4389662,90c8759c7a829d8c74296187cdbdb47bc9025480fffc41ff5e7225889c8fea7e,2026-07-17
1040,2024,form,downloaded,https://www.irs.gov/pub/irs-prior/f1040--2024.pdf,sources/annual-income-tax-forms/1040/2024/1040-2024-form.pdf,2,163287,0a7a54354283044cb41373c6faabfa50955d44bdf91b4b76fa1ca2bf13f6d718,2026-07-17
1040,2024,instructions,downloaded,https://www.irs.gov/pub/irs-prior/i1040gi--2024.pdf,sources/annual-income-tax-forms/1040/2024/1040-2024-instructions.pdf,113,4375877,0ae53ed5020d69e6571d40cd7955b7735f44a28df483626d128628d2810e93d4,2026-07-17
1040,2025,form,downloaded,https://www.irs.gov/pub/irs-prior/f1040--2025.pdf,sources/annual-income-tax-forms/1040/2025/1040-2025-form.pdf,2,220237,3d31c226df0d189ced80e039d01cf0f8820c1019681a0f0ca6264de277b7e982,2026-07-17
1040,2025,instructions,downloaded,https://www.irs.gov/pub/irs-prior/i1040gi--2025.pdf,sources/annual-income-tax-forms/1040/2025/1040-2025-instructions.pdf,126,4434643,482e9c487c608f1bbeaceef35bc3c0933e8b35443cfff447e4279d590468364a,2026-07-17
1040-NR,2018,form,downloaded,https://www.irs.gov/pub/irs-prior/f1040nr--2018.pdf,sources/annual-income-tax-forms/1040-NR/2018/1040-nr-2018-form.pdf,6,735854,108c2009f8327b9f7ebaf3d10afb820b5e414b053d0900fc4d47463c005da735,2026-07-17
1040-NR,2018,instructions,downloaded,https://www.irs.gov/pub/irs-prior/i1040nr--2018.pdf,sources/annual-income-tax-forms/1040-NR/2018/1040-nr-2018-instructions.pdf,80,1751031,e79fe2467512b185d092e4fe27e46c875898c3ac8135d00f414002e40dfb50c3,2026-07-17
1040-NR,2019,form,downloaded,https://www.irs.gov/pub/irs-prior/f1040nr--2019.pdf,sources/annual-income-tax-forms/1040-NR/2019/1040-nr-2019-form.pdf,6,706973,694cc794950a2b341d60a248f895383e03099a5665b346313a5f533ddbffac5c,2026-07-17
1040-NR,2019,instructions,downloaded,https://www.irs.gov/pub/irs-prior/i1040nr--2019.pdf,sources/annual-income-tax-forms/1040-NR/2019/1040-nr-2019-instructions.pdf,80,1674216,9698645f4cf7ae3580849dab1065a9988d12e5afd55600a1507369947757553d,2026-07-17
1040-NR,2020,form,downloaded,https://www.irs.gov/pub/irs-prior/f1040nr--2020.pdf,sources/annual-income-tax-forms/1040-NR/2020/1040-nr-2020-form.pdf,2,135093,f7fb303b42c43c2d31761bfb9eb49eaf8a7ac9e4074c9f27a4c6c56833711f9b,2026-07-17
1040-NR,2020,instructions,downloaded,https://www.irs.gov/pub/irs-prior/i1040nr--2020.pdf,sources/annual-income-tax-forms/1040-NR/2020/1040-nr-2020-instructions.pdf,48,672996,28f0da59304792d664c19476dd86a9c9f775456dc5ce0be014a0343c24c5af0c,2026-07-17
1040-NR,2021,form,downloaded,https://www.irs.gov/pub/irs-prior/f1040nr--2021.pdf,sources/annual-income-tax-forms/1040-NR/2021/1040-nr-2021-form.pdf,2,136391,7e1b18973063617dd30f07d6717f1b7b03c45ccbac1b2c44b656a90d90122977,2026-07-17
