product,tax_year,document_type,official_url,local_path,status,sha256,page_count,byte_count,retrieval_date,error
1040-Schedule-C,2018,form,https://www.irs.gov/pub/irs-prior/f1040sc--2018.pdf,sources/supporting-schedules/1040-Schedule-C/2018/f1040sc--2018.pdf,downloaded,9aaacf959dac18835ed2d24d5ac96373f45c00c83a5b5aeb230095773bf0478a,2,120209,2026-07-18,
1040-Schedule-C,2018,instructions,https://www.irs.gov/pub/irs-prior/i1040sc--2018.pdf,sources/supporting-schedules/1040-Schedule-C/2018/i1040sc--2018.pdf,downloaded,1cef5dba44fe5f5f036410b624d90b610d81029513de4457ff496509ee731b18,20,485202,2026-07-18,
1040-Schedule-C,2019,form,https://www.irs.gov/pub/irs-prior/f1040sc--2019.pdf,sources/supporting-schedules/1040-Schedule-C/2019/f1040sc--2019.pdf,downloaded,e5a64e7c14c77dc1e67ed59c78ae583cfdeb2ee672a64e1ab53d60318c3b851e,2,113769,2026-07-18,
1040-Schedule-C,2019,instructions,https://www.irs.gov/pub/irs-prior/i1040sc--2019.pdf,sources/supporting-schedules/1040-Schedule-C/2019/i1040sc--2019.pdf,downloaded,19cea703aaa5ef455331916c3c56ae4e003e72beed66c3dd1f53cd677a2a99e3,18,444343,2026-07-18,
1040-Schedule-C,2020,form,https://www.irs.gov/pub/irs-prior/f1040sc--2020.pdf,sources/supporting-schedules/1040-Schedule-C/2020/f1040sc--2020.pdf,downloaded,cb0752165c960307d53c0909b0e6c6c00e19d4431c97148828bc1bdda9413bcc,2,115576,2026-07-18,
1040-Schedule-C,2020,instructions,https://www.irs.gov/pub/irs-prior/i1040sc--2020.pdf,sources/supporting-schedules/1040-Schedule-C/2020/i1040sc--2020.pdf,downloaded,deea7cdcc4d0b94d417d85376fe4e9ab4b79620c21de74087cf96233350a05a7,19,441824,2026-07-18,
1040-Schedule-C,2021,form,https://www.irs.gov/pub/irs-prior/f1040sc--2021.pdf,sources/supporting-schedules/1040-Schedule-C/2021/f1040sc--2021.pdf,downloaded,6f5c657de01c7893884b443b141d03d3aa2d1158911a93f379cd219d9a2e1903,2,115239,2026-07-18,
1040-Schedule-C,2021,instructions,https://www.irs.gov/pub/irs-prior/i1040sc--2021.pdf,sources/supporting-schedules/1040-Schedule-C/2021/i1040sc--2021.pdf,downloaded,73507fdca140478e3ecb392be609db7da2997b2e9629ad293b01a364a5e38546,20,456334,2026-07-18,
1040-Schedule-C,2022,form,https://www.irs.gov/pub/irs-prior/f1040sc--2022.pdf,sources/supporting-schedules/1040-Schedule-C/2022/f1040sc--2022.pdf,downloaded,334ef0667595d7c22eac360177f1da0d0a7e6fbe228d0b4df7e0b62e34b4908a,2,116976,2026-07-18,
1040-Schedule-C,2022,instructions,https://www.irs.gov/pub/irs-prior/i1040sc--2022.pdf,sources/supporting-schedules/1040-Schedule-C/2022/i1040sc--2022.pdf,downloaded,3fe3eb7e0d8da42d4b9c2f5726c83c19abe1b1e8f7c0630db034a545748aa645,20,456963,2026-07-18,
1040-Schedule-C,2023,form,https://www.irs.gov/pub/irs-prior/f1040sc--2023.pdf,sources/supporting-schedules/1040-Schedule-C/2023/f1040sc--2023.pdf,downloaded,d475d0c135c0ebc599eadd1a228cbb124a60b0b6ca69a32ae0d355f5708755ff,2,122476,2026-07-18,
