"Business","FailedChecks","Locations","LatestFail","FacilityType","CityRisk","CriticalHits","Addresses","Score"
"SUBWAY","15","14","2026-06-08","Restaurant","Risk 1 (High)","15","8655 S JEFFERY BLVD | 400 N ORLEANS ST | 1656 W 119TH ST | 1768 W ARMITAGE AVE | 5853 S KEDZIE AVE | 11629 S HALSTED ST | 333 E BENTON PL | 1901 W 103RD ST | 3333 W BELMONT AVE | 3601 N WESTERN AVE | 6555 N CLARK ST | 1232 S CANAL ST | 6450 S PULASKI RD | 69 W WASHINGTON ST","883"
"SHARKS FISH & CHICKEN","7","6","2026-06-26","Restaurant","Risk 1 (High)","6","400 E 87TH ST | 9800 S HALSTED ST | 2018-2020 W 63RD ST | 1734 E 71ST ST | 325 S CICERO AVE | 119 E 75TH ST","401"
"POTBELLY SANDWICH SHOP","4","4","2026-07-14","Restaurant","Risk 1 (High)","4","900 W NORTH AVE | 756 E 111TH ST | 225 E CHICAGO | 4185 W IRVING PARK RD","269"
"JIMMY JOHNS","4","4","2026-04-27","Restaurant","Risk 1 (High)","4","1519 E 55TH ST | 28 N CLARK ST | 51 W DIVISION ST | 6 E MADISON ST","256"
"BABA'S FAMOUS STEAK AND LEMONADE","3","3","2026-07-13","Restaurant","Risk 1 (High)","3","10343 S HALSTED ST | 810 W 59TH ST | 3407 1/2 W MADISON ST","209"
"TACO BURRITO KING","3","3","2026-07-06","Restaurant","Risk 1 (High)","3","811 W JACKSON BLVD | 6518-6520 W NORTH AVE | 5501 N HARLEM AVE","208"
"CAFECITO","3","3","2026-04-27","Restaurant","Risk 1 (High)","3","215 E CHESTNUT ST | 4018 N WESTERN AVE | 7 N WELLS ST","196"
"CHIPOTLE MEXICAN GRILL","3","3","2026-04-28","Restaurant","Risk 1 (High)","3","316 N MICHIGAN AVE | 610 W DIVERSEY PKWY | 2640 N NARRAGANSETT AVE","196"
"SHELL","3","3","2026-03-25","Grocery Store","Risk 3 (Low)","3","8659 S STATE ST | 3159 W ADDISON ST | 4001 N LARAMIE AVE","191"
"POTBELLY SANDWICH WORKS","4","2","2026-04-24","Restaurant","Risk 1 (High)","4","924 W BELMONT AVE | 57 E CHICAGO AVE","176"
"JJ FISH","4","2","2026-04-10","Restaurant","Risk 1 (High)","4","5211 W NORTH AVE | 411 S KEDZIE AVE","174"
"BITTERSWEET","3","2","2026-07-10","Restaurant","Risk 1 (High)","3","850 W MONROE ST | 1114 W BELMONT AVE","169"
"MARIANO'S FRESH MARKET #8503","5","1","2026-07-07","Grocery Store","Risk 1 (High)","5","333 E BENTON PL","168"
"POKE POKE","3","2","2026-04-23","Restaurant","Risk 1 (High)","3","118 S WABASH AVE | 1100 W MADISON ST","156"
"TACO BELL","3","2","2026-03-31","Restaurant","Risk 1 (High)","3","2407-2409 N CLARK ST | 178 N Wabash AVE","152"
"TONY'S FRESH MARKET","3","2","2026-06-22","Grocery Store","Risk 1 (High)","0","3607 W FULLERTON AVE | 2551 W CERMAK RD","151"
"WINGSTOP","2","2","2026-07-02","Restaurant","Risk 1 (High)","2","3032 S HALSTED ST | 800 N KEDZIE AVE","147"
"LOU MALNATI'S PIZZERIA","2","2","2026-06-26","Restaurant","Risk 1 (High)","2","6456 S CICERO AVE | 1235 W RANDOLPH ST","146"
"NANDO'S PERI PERI","2","2","2026-06-16","Restaurant","Risk 1 (High)","2","949-953 W RANDOLPH ST | 1447 E 53RD ST","145"
"COCULA RESTAURANT","2","2","2026-06-15","Restaurant","Risk 1 (High)","2","5241 S PULASKI RD | 2801 W CERMAK RD","144"
